Time,pH,Distance,Ultrasonic,Voltage
4,9,2,0,0.63
4,8,2,0,0.43
4,7,2,0,2.86
4,6,2,0,0.92
4,5,2,0,1.17
4,4,2,0,0.95
4,3,2,0,0.91
4,2,2,0,1.01
5,9,2,0,0.49
5,8,2,0,0.32
5,7,2,0,0.46
5,6,2,0,0.69
5,5,2,0,1.09
5,4,2,0,0.79
5,3,2,0,0.86
5,2,2,0,0.95
0,2,2,0,1.54
0,6,2,0,1.5
0,7,3,0,1.42
0,5,2,0,1.41
0,3,2,0,1.35
0,7,4,0,1.26
1,9,2,0,1.4
1,8,2,0,1.37
1,7,2,0,0.8
1,6,2,0,1.22
1,5,2,0,1.43
1,4,2,0,1.28
2,9,2,0,1
2,8,2,0,1.19
2,7,2,0,0.62
2,6,2,0,0.83
2,5,2,0,1.22
2,4,2,0,1.11
3,9,2,0,0.4
3,8,2,0,1.08
3,7,2,0,0.56
3,6,2,0,0.65
3,5,2,0,1.09
3,4,2,0,0.93
4,7,2,0,0.9
4,6,2,0,0.64
4,5,2,0,0.31
4,4,2,0,0.91
5,9,2,0,0.43
5,8,2,0,0.34
5,5,2,0,0.79
5,4,2,0,0.69
5,3,2,0,1.8
5,2,2,0,1.03
0,7,2,75,0.79
1,7,2,75,0.36
2,7,2,75,0.2
3,7,2,75,0.14
4,7,2,75,0.09
5,7,2,75,0.06
0,7,2,75,0.77
1,7,2,75,0.65
2,7,2,75,0.51
3,7,2,75,0.4
4,7,2,75,0.37
5,7,2,75,0.34
0,7,2,56.25,0.69
1,7,2,56.25,0.22
2,7,2,56.25,0.12
3,7,2,56.25,0.05
4,7,2,56.25,0.02
5,7,2,56.25,0.02
0,7,2,56.25,1.96
1,7,2,56.25,1.38
2,7,2,56.25,0.59
3,7,2,56.25,0.49
4,7,2,56.25,0.42
5,7,2,56.25,0.38
0,7,2,37.5,1.8
1,7,2,37.5,1.27
2,7,2,37.5,0.6
3,7,2,37.5,0.49
4,7,2,37.5,0.4
5,7,2,37.5,0.32
0,7,2,37.5,1.91
1,7,2,37.5,0.84
2,7,2,37.5,0.46
3,7,2,37.5,0.33
4,7,2,37.5,0.28
5,7,2,37.5,0.19
0,7,2,18.75,1.03
1,7,2,18.75,0.46
2,7,2,18.75,0.13
3,7,2,18.75,0.02
4,7,2,18.75,0.01
5,7,2,18.75,0.01
0,7,2,18.75,2.05
1,7,2,18.75,1.67
2,7,2,18.75,1.19
3,7,2,18.75,1
4,7,2,18.75,0.87
5,7,2,18.75,0.62
0,7,2,0,0.49
1,7,2,0,0.35
2,7,2,0,0.23
3,7,2,0,0.2
4,7,2,0,0.18
5,7,2,0,0.16
0,7,2,0,1.59
1,7,2,0,1.15
2,7,2,0,0.89
3,7,2,0,0.69
4,7,2,0,0.5
5,7,2,0,0.42
